datetime,value,validation_block,predict
2019-09-27 00:00:00,10081.0,0,10240.0
2019-10-04 00:00:00,10066.0,0,10240.0
2019-10-11 00:00:00,9998.0,0,10240.0
2019-10-18 00:00:00,10098.0,0,10240.0
2019-10-25 00:00:00,10184.0,0,10240.0
2019-11-01 00:00:00,10036.0,0,10240.0
2019-11-08 00:00:00,10173.0,0,10240.0
2019-11-15 00:00:00,10053.0,0,10240.0
2019-11-22 00:00:00,10065.0,0,10240.0
2019-11-29 00:00:00,9941.0,0,10240.0
2019-12-06 00:00:00,9753.0,1,9941.0
2019-12-13 00:00:00,9840.0,1,9941.0
2019-12-20 00:00:00,10269.0,1,9941.0
2019-12-27 00:00:00,10173.0,1,9941.0
2020-01-03 00:00:00,8887.0,1,9941.0
2020-01-10 00:00:00,9281.0,1,9941.0
2020-01-17 00:00:00,9535.0,1,9941.0
2020-01-24 00:00:00,9158.0,1,9941.0
2020-01-31 00:00:00,9903.0,1,9941.0
2020-02-07 00:00:00,9241.0,1,9941.0
