datetime,value,validation_block,predict
2018-02-16 23:20:00,18.25,0,19.739416666666667
2018-02-16 23:21:00,18.25,0,19.739416666666667
2018-02-16 23:22:00,18.25,0,19.739416666666667
2018-02-16 23:23:00,18.25,0,19.739416666666667
2018-02-16 23:24:00,18.25,0,19.739416666666667
2018-02-16 23:25:00,18.25,0,19.739416666666667
2018-02-16 23:26:00,18.25,0,19.739416666666667
2018-02-16 23:27:00,18.25,0,19.739416666666667
2018-02-16 23:28:00,18.25,0,19.739416666666667
2018-02-16 23:29:00,18.25,0,19.739416666666667
2018-02-16 23:30:00,18.25,1,19.709020408163266
2018-02-16 23:31:00,18.25,1,19.709020408163266
2018-02-16 23:32:00,18.25,1,19.709020408163266
2018-02-16 23:33:00,18.25,1,19.709020408163266
2018-02-16 23:34:00,18.25,1,19.709020408163266
2018-02-16 23:35:00,18.25,1,19.709020408163266
2018-02-16 23:36:00,18.25,1,19.709020408163266
2018-02-16 23:37:00,18.25,1,19.709020408163266
2018-02-16 23:38:00,18.25,1,19.709020408163266
2018-02-16 23:39:00,18.25,1,19.709020408163266
